Id,Label,Description
"TM","Mme Thénardier","Madame Thénardier, wife of Thénardier"
"CV","Cravatte","Cravatte, mountain bandit"
"CC","Cochepaille","Cochepaille, convict in the galleys with Valjean"
"PH","Priest, Digne","A priest on the road from Digne"
"CA","Curé, Digne","Curé in Digne"
"CB","Mountain curé","Curé in the mountains near Digne"
"CH","Champmathieu","Champmathieu, accused thief mistaken for Valjean"
"ME","Mme Magloire","Mme Magloire, housekeeper to Myriel"
"CK","Defense counsel","Counsel for the defense in Champmathieu's trial"
"PR","Prison guard","Prison guard"
"FB","Barber","Barber to whom Fantine sells her hair"
"MG","Mlle Gillenormand","Mlle Gillenormand, unmarried daughter of Gillenormand"
"FD","Furniture seller","Secondhand dealer who sold furniture to Fantine"
"BR","Brevet","Brevet, convict in the galleys with Valjean"
"WH","Old woman","Old woman in Hesdin"
"FA","Fameuil","Fameuil, Parisian student, lover of  Zéphine"
"BC","Booking clerk","Booking clerk in Arras's court"
"PD","Digne peasant","Peasant in Digne, whom Valjean asks for food"
"FL","Landlord","Fantine's landlord"
"CD","Condemned to death","Man condemned to death"
"SS","Sister Simplice","Sister Simplice, nun at infirmary in M-sur-M"
"JM","Valjean's sister","Jeanne, sister of Valjean"
"FN","Fantine","Fantine, mistress of Tholomyès"
"MH","Chastelar mayor","Mayor of Chastelar"
"DO","Foreman, Grasse","Distillery foreman in Grasse"
"SC","M. Scaufflaire","M. Scaufflaire, keeper of horses and coaches in M-sur-M"
"BI","Bailiff","Bailiff in Arras's court"
"JV","Jean Valjean","Jean Valjean"
"CO","Cosette","Cosette, daughter of Fantine"
"FF","Fauchelevent","Fauchelevent, failed notary turned carter in M-sur-M"
"FT","Tholomyès","Tholomyès, Parisian student, lover of Fantine"
"EP","Eponine","Eponine, daughter of the Thénardiers"
"AA","Arras lawyer","Lawyer in Arras's court"
"SN","Senator","Senator, Count ***, in Digne"
"RA","Arras resident","Resident of Arras"
"SF","Factory supervisor","Supervisor in M. Madeleine's factory"
"BW","Wheelright","Master Bourgaillard, wheelright"
"MB","Mlle Baptistine","Mlle Baptistine, sister of Myriel"
"MR","Marquise de R","Marquise de R-, inhabitant of Digne"
"DS","Doctor M-s-M","Doctor in M-sur-M hospital"
"FM","Fisherman, Digne","Fisherman in Digne"
"SM","Hospital servant","Servant at the hospital in M-sur-M"
"KD","Door keeper","Door keeper at a Paris bindery"
"TH","Thénardier","Thénardier, innkeeper in Montfermeil, aka Jondrette"
"DM","Dowager M-s-M","Dowager in M-sur-M"
"GG","Conventionist","G--, a Convenionist"
"DA","Dahlia","Dahlia, mistress of Listolier"
"MY","Bishop Myriel","M. Myriel, Bishop of Digne"
"PO","Portress, M-s-M","Portress of JV in M-sur-M"
"GD","Gendarme, Digne","Gendarme in Digne"
"MS","Mayor of Senez","Mayor of Senez"
"JN","Sister's son","Youngest son of Valjean's sister"
"VI","Mme Victurnien","Mme Victurnien, snoop in M-sur-M"
"PA","Prosecuting attorney","Prosecuting attorney in Champmathieu trial"
"WB","Waiter","Waiter at Bombarda"
"TR","Three gendarmes","Three gendarmes, arrested Valjean"
"SE","Saint Pol Servant girl","Servant girl in Saint Pol"
"JU","Judge","Judge at the Arras court"
"KB","Kitchen boy","Kitchen boy at Labarre's inn"
"HD","Hospital director","Hospital director in Digne"
"WI","Old woman's son","Old woman's son"
"TE","German teamster","German teamster"
"JL","Labarre","Labarre, innkeeper in Digne"
"NT","Thénardiers' neighbor","Neighbor of Thénardiers"
"IS","Isabeau","Isabeau, baker in Faverolles"
"SD","M. Scaufflaire's wife","M. Scaufflaire's wife"
"AZ","Azelma","Azelma, daughter of the Thénardiers"
"LR","Arras hotel keeper","Landlady at an Arras hotel"
"CI","Cashier","Cashier at M.Madeleine's manufactory"
"ZE","Zephine","Zephine, mistress of Fameuil"
"IK","Innkeeper's wife","Innkeeper's wife at Saint Pol"
"BH","Stable boy","Stable boy in Hesdin"
"JA","Javert","Javert, police officer"
"BL","Blachevelle","Blachevelle, Parisian student, lover of Favourite"
"LI","Listolier","Listolier, Parisian student, lover of Dahlia"
"BM","Bamatabois","M. Bamatabois, idler of M-sur-M"
"MD","Marie-Claude","Marie-Claude, neighbor of the Valjeans in Faverolles"
"PT","Postillion","Postillion, accompanying Valjean to Arras"
"ID","Itinerant dentist","Itinerant dentist"
"FV","Favourite","Favourite, mistress of Blachevelle"
"CE","Arras coachman","Coachman of the mail to Arras"
"SB","Shepherd boy","Shepherd boy, serves G-- the conventionist"
"CN","Chenildieu","Chenildieu, convict in the galleys with Valjean"
"PE","Peasant's wife","Peasant's wife"
"PG","Petit Gervais","Petit Gervais, a chimney sweep"
"KT","Tavern keeper","Tavern keeper in Digne"
"SG","Police sergeant M-s-M","Police sergeant in M-sur-M"
"MC","Champtercier","Marquis de Champtercier, ultra-royalist in Digne"
"CL","Countess de Lô","Countess de Lô, distant relative of Myriel"
"VB","Mme Boischevron","Mme Boischevron, friend and correspondent of Mlle Baptistine"
"RM","Road mender","Road mender"
"GE","Géborand","Géborand, retired merchant of Digne"
"JD","Jailer, Digne","Jailer in the prison of Digne"
"MT","Marguerite","Marguerite, friend of Fantine in M-sur-M"
"NP","Napoleon","Napoleon, Emperor of France"
