Id,Label,Description
"AM","Abbé Mabeuf","Abbé Mabeuf, curé in Vernon, brother of M. Mabeuf"
"DU","Deuxmilliards","Deux-millards, aka Demi-liard, a criminal"
"TH","Thénardier","Thénardier, innkeeper in Montfermeil, aka Jondrette"
"LA","Count Lamothe","Count Lamothe, member of Baroness de T-'s salon"
"WP","Pontmercy's servant","Woman servant to Colonel Pontmercy"
"BO","Bossuet","Bossuet (Lesgle), member, Friends of the ABC"
"MG","Mlle Gillenormand","Mlle Gillenormand, unmarried daughter of Gillenormand"
"GU","Gueulemer","Gueulemer, member of Patron-Minette"
"AZ","Azelma","Azelma, daughter of the Thénardiers"
"PN","Panchaud","Panchaud, a criminal aka as Printanier, Bigrenaille"
"CM","Combeferre","Combeferre, member, Friends of the ABC"
"PS","Porter, r. de l'Ouest","Porter, rue de l'Ouest"
"GI","M. Gillenormand","M. Gillenormand, Marius's grandfather"
"MN","Magnon","Magnon, servant of Gillenormand"
"BA","Bahorel","Bahorel, member, Friends of the ABC"
"JP","Prouvaire","Prouvaire, member Friends of the ABC"
"BB","Babet","Babet, member, Patron-Minette"
"CO","Cosette","Cosette, daughter of Fantine"
"BT","Baroness de T","Baroness de T-, friend of M. Gillenormand"
"JV","Jean Valjean","Jean Valjean"
"GA","Gavroche","Gavroche, son of the Thénardiers"
"BZ","Boulatruelle","Boulatruelle, former convict and road mender in Montfermeil"
"GP","Colonel Pontmercy","Colonel George Pontmercy, Marius's father"
"CG","Parisian coachman","Coachman by Gorbeau tenement"
"CR","Courfeyrac","Courfeyrac, member, Friends of the ABC"
"BU","Mme Burgon","Mme Burgon (aka Bougon), new concierge at the Gorbeau tenement"
"JA","Javert","Javert, police officer"
"DV","Doctor, Vernon","Doctor in Vernon"
"NP","Napoleon","Napoleon, Emperor of France"
"PL","Mother Plutarch","Mother Plutarch, housekeeper of M. Mabeuf"
"BJ","Brujon","Brujon, criminal, associate of Patron-Minette"
"EN","Enjolras","Enjolras, chief of Friends of the ABC"
"EP","Eponine","Eponine, daughter of the Thénardiers"
"SR","Marius's servant","Servant to Marius at Garbeau tenement"
"GT","Grantaire","Grantaire, Friends of the ABC skeptic"
"MA","Marius","Marius"
"QU","Claquesous","Claquesous, member of Patron-Minette,aka Le Cabuc"
"MV","Mlle Vaubois","Mlle Vaubois, friend of Mlle Gillenormand"
"MP","Mme Pontmercy","Mme Pontmercy, younger daughter of Gillenormand"
"TG","Théodule","Lieutenant Théodule Gillenormand, grandnephew of Gillenormand"
"JO","Joly","Joly, member Friends of the ABC"
"MM","M. Mabeuf","M. Mabeuf, warden of St. Sulpice, bibliophile"
"TM","Mme Thénardier","Madame Thénardier, wife of Thénardier"
