Id,Label,Description
"TH","Thénardier","Thénardier, innkeeper in Montfermeil, aka Jondrette"
"BZ","Boulatruelle","Boulatruelle, former convict and road mender in Montfermeil"
"CO","Cosette","Cosette, daughter of Fantine"
"JA","Javert","Javert, police officer"
"EP","Eponine","Eponine, daughter of the Thénardiers"
"DH","Duc d'Havré","Duc d'Havré, accompanies Louis-Philippe"
"GR","Gribier","Gribier, new gravedigger at Vaugirard cemetery"
"FF","Fauchelevent","Fauchelevent, failed notary turned carter in M-sur-M"
"GA","Gavroche","Gavroche, son of the Thénardiers"
"PZ","Peddler","Peddler in Thénardier's inn"
"CF","Montfermeuil coachman","Montfermeuil coachman"
"TM","Mme Thénardier","Madame Thénardier, wife of Thénardier"
"GP","Colonel Pontmercy","Colonel George Pontmercy, Marius's father"
"KA","Toll keeper","Toll keeper at Austerlitz bridge"
"JV","Jean Valjean","Jean Valjean"
"LL","Landlady, Gorbeau","Landlady at Gorbeau House (during JVJ's stay)"
"SO","Soldiers","Soldiers pursuing Valjean, led by Javert"
"BS","Boatswain","Boatswain on the Orion saved by Valjean"
"MI","Mother Innocent","Mother Innocent, prioress of Convent of Petit Picpus"
"LP","Louis-Philippe","Louis-Philippe d'Orléans, King of France"
"AZ","Azelma","Azelma, daughter of the Thénardiers"
