Id,Label,Description
"BZ","Boulatruelle","Boulatruelle, former convict and road mender in Montfermeil"
"JO","Joly","Joly, member Friends of the ABC"
"BQ","Basque","Basque, manservant to Gillenormand"
"MG","Mlle Gillenormand","Mlle Gillenormand, unmarried daughter of Gillenormand"
"NI","Nicolette","Nicolette, maid to Gillenormand"
"GA","Gavroche","Gavroche, son of the Thénardiers"
"CX","Concierge, Gillenormand","Concierge at Gillenormand"
"CY","Concierge, l'Homme Armé","Concierge at rue de l'Homme Armé"
"JA","Javert","Javert, police officer"
"XA","Older child","Older Child, son of Thénardier, raised by Magnon"
"DG","Doctor, Gillenormand","Doctor at Gillenormand"
"JV","Jean Valjean","Jean Valjean"
"BO","Bossuet","Bossuet (Lesgle), member, Friends of the ABC"
"EP","Eponine","Eponine, daughter of the Thénardiers"
"CR","Courfeyrac","Courfeyrac, member, Friends of the ABC"
"SW","Sewermen","Sewermen"
"GV","Government troops","Government troops"
"WA","Anonymous worker","Anonymous worker at barricade"
"DJ","Doctor, Valjean","Doctor to Valjean"
"FE","Feuilly","Feuilly, member, Friends of the ABC"
"CM","Combeferre","Combeferre, member, Friends of the ABC"
"CJ","Javert's coachman","Coachman assisting Javert"
"BX","Bourgeois man","Bourgeois man in Luxemburg gardens"
"AZ","Azelma","Azelma, daughter of the Thénardiers"
"IW","Insurgent workers","Insurgent workers"
"CO","Cosette","Cosette, daughter of Fantine"
"TH","Thénardier","Thénardier, innkeeper in Montfermeil, aka Jondrette"
"GT","Grantaire","Grantaire, Friends of the ABC skeptic"
"GI","M. Gillenormand","M. Gillenormand, Marius's grandfather"
"MA","Marius","Marius"
"EN","Enjolras","Enjolras, chief of Friends of the ABC"
"BY","Bourgeois son","Bourgeois man's son"
"CZ","Concierge's husband","Husband of Concierge at rue de l'Homme Armé"
"XB","Younger child","Younger Child, son of Thénardier, raised by Magnon"
