Id,Label,Description
"TM","Mme Thénardier","Madame Thénardier, wife of Thénardier"
"CV","Cravatte","Cravatte, mountain bandit"
"CN","Chenildieu","Chenildieu, convict in the galleys with Valjean"
"PH","Priest, Digne","A priest on the road from Digne"
"CA","Curé, Digne","Curé in Digne"
"CB","Mountain curé","Curé in the mountains near Digne"
"JU","Judge","Judge at the Arras court"
"ME","Mme Magloire","Mme Magloire, housekeeper to Myriel"
"CH","Champmathieu","Champmathieu, accused thief mistaken for Valjean"
"PR","Prison guard","Prison guard"
"FB","Barber","Barber to whom Fantine sells her hair"
"MG","Mlle Gillenormand","Mlle Gillenormand, unmarried daughter of Gillenormand"
"FD","Furniture seller","Secondhand dealer who sold furniture to Fantine"
"PA","Prosecuting attorney","Prosecuting attorney in Champmathieu trial"
"BW","Wheelright","Master Bourgaillard, wheelright"
"FA","Fameuil","Fameuil, Parisian student, lover of  Zéphine"
"RA","Arras resident","Resident of Arras"
"PD","Digne peasant","Peasant in Digne, whom Valjean asks for food"
"FL","Landlord","Fantine's landlord"
"CD","Condemned to death","Man condemned to death"
"SP","Sister Perpétue","Sister Perpétue, nun at infirmary in M-sur-M"
"JM","Valjean's sister","Jeanne, sister of Valjean"
"FN","Fantine","Fantine, mistress of Tholomyès"
"MH","Chastelar mayor","Mayor of Chastelar"
"DO","Foreman, Grasse","Distillery foreman in Grasse"
"SS","Sister Simplice","Sister Simplice, nun at infirmary in M-sur-M"
"AA","Arras lawyer","Lawyer in Arras's court"
"JV","Jean Valjean","Jean Valjean"
"CO","Cosette","Cosette, daughter of Fantine"
"FF","Fauchelevent","Fauchelevent, failed notary turned carter in M-sur-M"
"FT","Tholomyès","Tholomyès, Parisian student, lover of Fantine"
"EP","Eponine","Eponine, daughter of the Thénardiers"
"BC","Booking clerk","Booking clerk in Arras's court"
"SN","Senator","Senator, Count ***, in Digne"
"LR","Arras hotel keeper","Landlady at an Arras hotel"
"SF","Factory supervisor","Supervisor in M. Madeleine's factory"
"BH","Stable boy","Stable boy in Hesdin"
"MB","Mlle Baptistine","Mlle Baptistine, sister of Myriel"
"MR","Marquise de R","Marquise de R-, inhabitant of Digne"
"DS","Doctor M-s-M","Doctor in M-sur-M hospital"
"FM","Fisherman, Digne","Fisherman in Digne"
"PT","Postillion","Postillion, accompanying Valjean to Arras"
"KD","Door keeper","Door keeper at a Paris bindery"
"TH","Thénardier","Thénardier, innkeeper in Montfermeil, aka Jondrette"
"DM","Dowager M-s-M","Dowager in M-sur-M"
"GG","Conventionist","G--, a Convenionist"
"DA","Dahlia","Dahlia, mistress of Listolier"
"MY","Bishop Myriel","M. Myriel, Bishop of Digne"
"CI","Cashier","Cashier at M.Madeleine's manufactory"
"GD","Gendarme, Digne","Gendarme in Digne"
"MS","Mayor of Senez","Mayor of Senez"
"JN","Sister's son","Youngest son of Valjean's sister"
"VI","Mme Victurnien","Mme Victurnien, snoop in M-sur-M"
"CK","Defense counsel","Counsel for the defense in Champmathieu's trial"
"WB","Waiter","Waiter at Bombarda"
"TR","Three gendarmes","Three gendarmes, arrested Valjean"
"IK","Innkeeper's wife","Innkeeper's wife at Saint Pol"
"BI","Bailiff","Bailiff in Arras's court"
"KB","Kitchen boy","Kitchen boy at Labarre's inn"
"HD","Hospital director","Hospital director in Digne"
"WH","Old woman","Old woman in Hesdin"
"SE","Saint Pol Servant girl","Servant girl in Saint Pol"
"JL","Labarre","Labarre, innkeeper in Digne"
"NT","Thénardiers' neighbor","Neighbor of Thénardiers"
"IS","Isabeau","Isabeau, baker in Faverolles"
"SC","M. Scaufflaire","M. Scaufflaire, keeper of horses and coaches in M-sur-M"
"AZ","Azelma","Azelma, daughter of the Thénardiers"
"SM","Hospital servant","Servant at the hospital in M-sur-M"
"SD","M. Scaufflaire's wife","M. Scaufflaire's wife"
"ZE","Zephine","Zephine, mistress of Fameuil"
"WI","Old woman's son","Old woman's son"
"CE","Arras coachman","Coachman of the mail to Arras"
"JA","Javert","Javert, police officer"
"BL","Blachevelle","Blachevelle, Parisian student, lover of Favourite"
"LI","Listolier","Listolier, Parisian student, lover of Dahlia"
"BM","Bamatabois","M. Bamatabois, idler of M-sur-M"
"MD","Marie-Claude","Marie-Claude, neighbor of the Valjeans in Faverolles"
"RM","Road mender","Road mender"
"ID","Itinerant dentist","Itinerant dentist"
"FV","Favourite","Favourite, mistress of Blachevelle"
"PO","Portress, M-s-M","Portress of JV in M-sur-M"
"CC","Cochepaille","Cochepaille, convict in the galleys with Valjean"
"SB","Shepherd boy","Shepherd boy, serves G-- the conventionist"
"BR","Brevet","Brevet, convict in the galleys with Valjean"
"PE","Peasant's wife","Peasant's wife"
"PG","Petit Gervais","Petit Gervais, a chimney sweep"
"KT","Tavern keeper","Tavern keeper in Digne"
"SG","Police sergeant M-s-M","Police sergeant in M-sur-M"
"MC","Champtercier","Marquis de Champtercier, ultra-royalist in Digne"
"CL","Countess de Lô","Countess de Lô, distant relative of Myriel"
"VB","Mme Boischevron","Mme Boischevron, friend and correspondent of Mlle Baptistine"
"TE","German teamster","German teamster"
"GE","Géborand","Géborand, retired merchant of Digne"
"JD","Jailer, Digne","Jailer in the prison of Digne"
"MT","Marguerite","Marguerite, friend of Fantine in M-sur-M"
"NP","Napoleon","Napoleon, Emperor of France"
