Abbr,Name,color
CR,Courfeyrac,1.0
EN,Enjolras,1.0
FE,Feuilly,1.0
CM,Combeferre,1.0
BA,Bahorel,1.0
JP,Prouvaire,1.0
JO,Joly,1.0
BO,Bossuet,1.0
GT,Grantaire,1.0
CP,Card player,1.0
MA,Marius,1.0
BU,Mme Burgon,1.0
JA,Javert,1.0
BB,Babet,2.0
BJ,Brujon,2.0
GU,Gueulemer,2.0
GF,"Guard, La Force",2.0
BF,Babet's girlfriend,3.0
MN,Magnon,3.0
EP,Eponine,2.0
MM,M. Mabeuf,1.0
CO,Cosette,1.0
JV,Jean Valjean,2.0
TS,Toussaint,1.0
PS,"Porter, r. de l'Ouest",2.0
PL,Mother Plutarch,1.0
GA,Gavroche,1.0
MO,Montparnasse,2.0
TG,Théodule,1.0
TM,Mme Thénardier,3.0
XA,Older child,3.0
XB,Younger child,3.0
GI,M. Gillenormand,3.0
TH,Thénardier,2.0
BG,Paris barber,3.0
GL,Poor girl,1.0
BK,Paris baker,1.0
QU,Claquesous,2.0
MG,Mlle Gillenormand,3.0
BQ,Basque,3.0
MU,Minister of agriculture,4.0
MW,Minister's wife,4.0
GN,Gardener,1.0
GS,Secondhand dealer,1.0
RP,Ragpicker,1.0
TC,Three concierges,1.0
OS,Old soldier,3.0
CW,"Concierge, Verrerie",1.0
HL,Mme Hucheloup,1.0
ML,Matelotte,1.0
GB,Gibolette,1.0
NA,Navet,1.0
DN,Dandy,1.0
PC,"Porter, barricade",2.0
GV,Government troops,1.0
DR,Drunk coachman,1.0
SI,"Sergeant, Imprimérie",1.0
