Abbr,Name,color
EN,Enjolras,1.0
FE,Feuilly,1.0
CM,Combeferre,1.0
BO,Bossuet,1.0
CR,Courfeyrac,1.0
JO,Joly,1.0
IW,Insurgent workers,1.0
WA,Anonymous worker,1.0
MA,Marius,2.0
JV,Jean Valjean,2.0
JA,Javert,2.0
GV,Government troops,1.0
GA,Gavroche,1.0
XA,Older child,3.0
XB,Younger child,3.0
BX,Bourgeois man,3.0
BY,Bourgeois son,3.0
EP,Eponine,2.0
GT,Grantaire,1.0
SW,Sewermen,2.0
TH,Thénardier,2.0
CJ,Javert's coachman,2.0
CX,"Concierge, Gillenormand",2.0
BQ,Basque,2.0
NI,Nicolette,2.0
MG,Mlle Gillenormand,2.0
DG,"Doctor, Gillenormand",2.0
GI,M. Gillenormand,2.0
BZ,Boulatruelle,2.0
CO,Cosette,2.0
AZ,Azelma,2.0
CY,"Concierge, l'Homme Armé",4.0
CZ,Concierge's husband,4.0
DJ,"Doctor, Valjean",2.0
