Abbr,Name,color
EN,Enjolras,1.0
FE,Feuilly,1.0
CM,Combeferre,1.0
BO,Bossuet,1.0
CR,Courfeyrac,1.0
JO,Joly,1.0
IW,Insurgent workers,1.0
WA,Anonymous worker,2.0
MA,Marius,1.0
JV,Jean Valjean,1.0
JA,Javert,1.0
GV,Government troops,1.0
GA,Gavroche,1.0
XA,Older child,3.0
XB,Younger child,3.0
BX,Bourgeois man,3.0
BY,Bourgeois son,3.0
EP,Eponine,4.0
GT,Grantaire,1.0
SW,Sewermen,1.0
TH,Thénardier,5.0
CJ,Javert's coachman,1.0
CX,"Concierge, Gillenormand",6.0
BQ,Basque,6.0
NI,Nicolette,6.0
MG,Mlle Gillenormand,6.0
DG,"Doctor, Gillenormand",6.0
GI,M. Gillenormand,6.0
BZ,Boulatruelle,7.0
CO,Cosette,6.0
AZ,Azelma,5.0
CY,"Concierge, l'Homme Armé",8.0
CZ,Concierge's husband,8.0
DJ,"Doctor, Valjean",1.0
