Abbr,Name,color
MY,Bishop Myriel,1.0
NP,Napoleon,1.0
MB,Mlle Baptistine,1.0
ME,Mme Magloire,1.0
HD,Hospital director,1.0
MG,Mlle Gillenormand,1.0
MS,Mayor of Senez,1.0
CL,Countess de Lô,1.0
GE,Géborand,1.0
MC,Champtercier,1.0
CD,Condemned to death,1.0
CA,"Curé, Digne",1.0
MH,Chastelar mayor,1.0
CB,Mountain curé,1.0
CV,Cravatte,1.0
SN,Senator,1.0
VB,Mme Boischevron,1.0
GG,Conventionist,2.0
SB,Shepherd boy,2.0
GD,"Gendarme, Digne",3.0
JV,Jean Valjean,4.0
JL,Labarre,5.0
KB,Kitchen boy,5.0
KT,Tavern keeper,5.0
FM,"Fisherman, Digne",5.0
JD,"Jailer, Digne",4.0
PD,Digne peasant,6.0
PE,Peasant's wife,6.0
MR,Marquise de R,7.0
JM,Valjean's sister,8.0
MD,Marie-Claude,4.0
IS,Isabeau,4.0
PR,Prison guard,4.0
JN,Sister's son,8.0
KD,Door keeper,8.0
DO,"Foreman, Grasse",4.0
TR,Three gendarmes,1.0
PG,Petit Gervais,4.0
PH,"Priest, Digne",4.0
FT,Tholomyès,9.0
LI,Listolier,9.0
FA,Fameuil,9.0
BL,Blachevelle,9.0
FV,Favourite,9.0
DA,Dahlia,9.0
ZE,Zephine,9.0
FN,Fantine,9.0
WB,Waiter,9.0
AZ,Azelma,10.0
EP,Eponine,10.0
TM,Mme Thénardier,10.0
CO,Cosette,10.0
TH,Thénardier,10.0
NT,Thénardiers' neighbor,9.0
DM,Dowager M-s-M,4.0
FF,Fauchelevent,11.0
JA,Javert,11.0
VI,Mme Victurnien,10.0
SF,Factory supervisor,9.0
FD,Furniture seller,9.0
FL,Landlord,9.0
MT,Marguerite,9.0
FB,Barber,9.0
ID,Itinerant dentist,9.0
BM,Bamatabois,4.0
SG,Police sergeant M-s-M,11.0
DS,Doctor M-s-M,12.0
SP,Sister Perpétue,12.0
SS,Sister Simplice,12.0
SC,M. Scaufflaire,13.0
SD,M. Scaufflaire's wife,13.0
CI,Cashier,11.0
PO,"Portress, M-s-M",11.0
CE,Arras coachman,4.0
BH,Stable boy,4.0
BW,Wheelright,4.0
WH,Old woman,4.0
WI,Old woman's son,4.0
IK,Innkeeper's wife,4.0
SE,Saint Pol Servant girl,4.0
TE,German teamster,4.0
RM,Road mender,4.0
PT,Postillion,4.0
SM,Hospital servant,12.0
LR,Arras hotel keeper,4.0
RA,Arras resident,4.0
BC,Booking clerk,4.0
AA,Arras lawyer,4.0
BI,Bailiff,4.0
JU,Judge,4.0
CH,Champmathieu,4.0
CK,Defense counsel,4.0
PA,Prosecuting attorney,4.0
BR,Brevet,4.0
CN,Chenildieu,4.0
CC,Cochepaille,4.0
