Abbr,Name,color
TH,Thénardier,1.0
TM,Mme Thénardier,1.0
EP,Eponine,1.0
AZ,Azelma,1.0
GI,M. Gillenormand,2.0
MN,Magnon,2.0
MG,Mlle Gillenormand,2.0
MV,Mlle Vaubois,2.0
TG,Théodule,2.0
MA,Marius,3.0
BT,Baroness de T,2.0
LA,Count Lamothe,2.0
GP,Colonel Pontmercy,4.0
WP,Pontmercy's servant,4.0
AM,Abbé Mabeuf,4.0
NP,Napoleon,4.0
MP,Mme Pontmercy,4.0
MM,M. Mabeuf,4.0
DV,"Doctor, Vernon",4.0
BO,Bossuet,5.0
CR,Courfeyrac,6.0
BA,Bahorel,5.0
CM,Combeferre,5.0
EN,Enjolras,3.0
GT,Grantaire,5.0
JO,Joly,5.0
CO,Cosette,1.0
PL,Mother Plutarch,4.0
SR,Marius's servant,3.0
JV,Jean Valjean,1.0
BU,Mme Burgon,6.0
JP,Prouvaire,6.0
PS,"Porter, r. de l'Ouest",3.0
GU,Gueulemer,1.0
QU,Claquesous,1.0
CG,Parisian coachman,3.0
PN,Panchaud,1.0
BJ,Brujon,1.0
DU,Deuxmilliards,1.0
JA,Javert,1.0
BZ,Boulatruelle,1.0
BB,Babet,1.0
GA,Gavroche,6.0
