Source,Target,Type,Id,Label
"CM","EN","Undirected","553","4.1.6"
"CR","EN","Undirected","554","4.1.6"
"EN","GT","Undirected","555","4.1.6"
"CM","CR","Undirected","556","4.1.6"
"CM","GT","Undirected","557","4.1.6"
"CR","GT","Undirected","558","4.1.6"
"CP","GT","Undirected","559","4.1.6"
"EN","GT","Undirected","560","4.1.6"
"CP","EN","Undirected","561","4.1.6"
"EP","MM","Undirected","562","4.2.3"
"EP","MA","Undirected","563","4.2.4"
"CO","JV","Undirected","564","4.3.4"
"CO","JV","Undirected","565","4.3.5"
"CO","MA","Undirected","566","4.3.6"
"CO","JV","Undirected","567","4.3.7"
"CO","JV","Undirected","568","4.3.8"
"CO","JV","Undirected","569","4.4.1"
"MM","PL","Undirected","570","4.4.2"
"JV","MO","Undirected","571","4.4.2"
"GA","MO","Undirected","572","4.4.2"
"GA","MM","Undirected","573","4.4.2"
"CO","TG","Undirected","574","4.5.1"
"CO","JV","Undirected","575","4.5.2"
"CO","TS","Undirected","576","4.5.3"
"CO","MA","Undirected","577","4.5.6"
"MN","TM","Undirected","578","4.6.1"
"MN","XA","Undirected","579","4.6.1"
"MN","XB","Undirected","580","4.6.1"
"XA","XB","Undirected","581","4.6.1"
"EP","MN","Undirected","582","4.6.1"
"GA","XA","Undirected","583","4.6.2"
"GA","XB","Undirected","584","4.6.2"
"XA","XB","Undirected","585","4.6.2"
"BG","GA","Undirected","586","4.6.2"
"GA","GL","Undirected","587","4.6.2"
"BK","GA","Undirected","588","4.6.2"
"GA","MO","Undirected","589","4.6.2"
"GA","XA","Undirected","590","4.6.2"
"GA","XB","Undirected","591","4.6.2"
"XA","XB","Undirected","592","4.6.2"
"BB","BJ","Undirected","593","4.6.3"
"BB","GU","Undirected","594","4.6.3"
"BB","TH","Undirected","595","4.6.3"
"BJ","GU","Undirected","596","4.6.3"
"BJ","TH","Undirected","597","4.6.3"
"GU","TH","Undirected","598","4.6.3"
"BB","BJ","Undirected","599","4.6.3"
"BB","GU","Undirected","600","4.6.3"
"BB","TH","Undirected","601","4.6.3"
"BB","GA","Undirected","602","4.6.3"
"BJ","GU","Undirected","603","4.6.3"
"BJ","TH","Undirected","604","4.6.3"
"BJ","GA","Undirected","605","4.6.3"
"GU","TH","Undirected","606","4.6.3"
"GA","GU","Undirected","607","4.6.3"
"GA","TH","Undirected","608","4.6.3"
"CO","MA","Undirected","609","4.8.1"
"CO","MA","Undirected","610","4.8.2"
"CR","MA","Undirected","611","4.8.3"
"CO","MA","Undirected","612","4.8.3"
"EP","MA","Undirected","613","4.8.3"
"BB","EP","Undirected","614","4.8.4"
"BJ","EP","Undirected","615","4.8.4"
"EP","GU","Undirected","616","4.8.4"
"EP","TH","Undirected","617","4.8.4"
